category,situation,prompt,response_a,response_b,human_choice
Public Speaking,Status update,I need to give my close friend a short status update on my work.,Walk through the process step by step in the order it happened.,"Lead with the headline result, then add detail only if asked.",1
Conflict Resolution,Money dispute,My cousin owes me money and hasn't brought it up.,Drop hints about it and hope they take the hint.,"Bring it up directly but kindly, mentioning the specific amount.",1
Public Speaking,Unexpected question,My teammate asks a question during my talk that I don't know the answer to.,Admit you're not sure and offer to follow up after finding out.,Give a general answer that sounds confident either way.,0
Making Friends,Reconnecting,I lost touch with my classmate and want to reconnect naturally.,Call them and explain in detail why you drifted apart.,"Send a short, warm message referencing a specific good memory.",1
Nonverbal Communication,Group photo moment,I want to seem approachable to my team lead in a group setting.,Stand slightly apart so you don't seem like you're intruding.,Keep an open stance and make brief eye contact with people as they talk.,1
Starting Conversations,Waiting room,I'm sitting next to my sibling in a waiting room and want to talk.,Ask them several personal questions to fill the time.,"Make an easy comment about the wait, then see if they want to keep talking.",1
Handling Criticism,Harsh review,I received a harsh review from my classmate that felt more personal than helpful.,Separate the useful points from the tone and ask a focused follow-up.,Dismiss the whole review since the tone felt unfair.,0
Public Speaking,Recorded presentation,I'm recording a presentation my teammate will watch later.,Keep it concise and structured since there's no live back-and-forth.,"Include everything you might normally say live, just in case.",0
Making Friends,New city,I moved somewhere new and want to build a friendship with my roommate.,Attend as many one-off events with them as possible.,Suggest a regular low-key activity together so contact becomes natural.,1
Making Friends,Mutual friend,"I want to become friends with my coworker, who I met through someone else.",Reach out directly instead of relying on the mutual friend to connect you.,Wait until the mutual friend brings you together again.,0
Nonverbal Communication,First meeting nerves,I'm nervous meeting my neighbor and not sure how I'm coming across.,Keep your posture open and let there be some comfortable pauses.,Fill every silence with talking so there's never an awkward pause.,0
Setting Boundaries,Repeated favors,My cousin keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my manager.,Reach out casually without over-explaining the gap.,Apologize extensively for not reaching out sooner.,0
Setting Boundaries,After-hours messages,My cousin keeps messaging me about work late at night.,Reply right away every time so they know you're available.,Let them know you'll respond first thing in the morning unless urgent.,1
Handling Criticism,Performance review,My teammate gave me a performance review lower than expected.,Push back on the rating before hearing the full explanation.,Ask for specific examples so you understand exactly what to improve.,1
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my mentor and want to seem more engaged.,Look at the camera when speaking and nod occasionally.,Keep your camera off so you can focus without distraction.,0
Empathy,Friend's loss,My new employee just lost a family member and I don't know what to say.,Acknowledge the loss simply and offer to help with something concrete.,Give them space and wait until they bring it up themselves.,0
Empathy,Feeling excluded,My coworker mentions feeling left out of a group.,Tell them they're overreacting and it's probably not personal.,"Validate the feeling before figuring out what, if anything, to do next.",1
Teamwork,Decision paralysis,My new employee and the team can't decide on next steps.,Propose a clear deadline for the decision and a simple way to choose.,Wait for someone else to take the lead on deciding.,0
Setting Boundaries,Emotional labor,My close friend relies on me a lot for emotional support.,Keep absorbing it all so they don't feel unsupported.,Support them within limits and encourage other resources too.,1
Making Friends,Mutual friend,"I want to become friends with my close friend, who I met through someone else.",Wait until the mutual friend brings you together again.,Reach out directly instead of relying on the mutual friend to connect you.,1
Making Friends,New city,I moved somewhere new and want to build a friendship with my close friend.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Conflict Resolution,Broken promise,My sibling didn't follow through on something they promised.,"Mention it calmly and ask what happened, without assuming the worst.",Stop relying on them without saying anything about why.,0
Conflict Resolution,Boundary crossed,My sibling crossed a line I hadn't clearly stated before.,Stay upset internally but not bring it up since you hadn't said it before.,Explain the boundary clearly now and how you'd like things to go forward.,1
Handling Criticism,Friend's honest opinion,My close friend told me honestly they didn't like something I made.,Assume they just don't understand what you were going for.,Ask what specifically didn't work for them.,1
Active Listening,Differing opinion,My team lead shares an opinion in discussion that's different from mine.,Ask them to explain more before sharing your own view.,Wait for a pause and then explain why your view is more accurate.,0
Public Speaking,Unexpected question,My mentor asks a question during my talk that I don't know the answer to.,Admit you're not sure and offer to follow up after finding out.,Give a general answer that sounds confident either way.,0
Workplace Communication,Giving feedback up,"I need to give feedback to my coworker, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Starting Conversations,Awkward silence,There's an awkward silence with my coworker and I don't know what to say.,Fill the silence by talking about yourself until it feels less awkward.,Ask an open question about something you both just experienced.,1
Setting Boundaries,Repeated favors,My coworker keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Conflict Resolution,Group project friction,My roommate and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Assertiveness,Pressure to conform,My team lead is pressuring me to do something I'm not comfortable with.,"Say directly that you're not comfortable with it, without over-explaining.",Go along with it this once to avoid seeming judgmental.,0
Active Listening,Long story,My teammate is telling a long story and I'm losing focus.,Stay present and ask a question about a detail to re-engage.,Let your mind wander until they get to the point.,0
Assertiveness,Being interrupted,My manager keeps interrupting me when I talk.,Stop bringing up points so it doesn't happen again.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",1
Active Listening,Important news,My teammate is telling me something important and I keep getting distracted.,Repeat back the main point to make sure you understood it.,Nod along while thinking about how you'll respond.,0
Empathy,Pre-exam anxiety,My team lead tells me they're anxious about a big test or evaluation.,Tell them they'll definitely do fine since they usually do.,Ask what part feels hardest and just listen.,1
Starting Conversations,Online intro,I want to message my sibling online for the first time without it feeling weird.,Send a long message explaining exactly why you're reaching out.,Reference something specific you have in common before asking a question.,1
Public Speaking,Toast or speech,I have to give a toast or speech in front of my classmate and don't know where to start.,"Pick one specific, genuine memory and build the speech around it.",Include as many jokes and stories as possible.,0
Nonverbal Communication,Reading the room,I want to tell if my study partner wants to keep talking or wrap up.,Keep the conversation going until they explicitly say they need to leave.,"Watch for cues like turning away or short answers, and offer an easy exit.",1
Public Speaking,Impromptu speaking,My close friend asks me to say a few words with no preparation.,Try to cover everything you can think of on the spot.,"Take a breath, pick one point, and keep it short.",1
Teamwork,Group decision fatigue,My classmate and the team keep re-deciding the same thing.,Suggest documenting the decision once it's made so it sticks.,Let the discussion happen again each time it comes up.,0
Starting Conversations,Party small talk,I don't know what to say to my coworker at a party.,Talk mainly about your own week so they get to know you.,Ask what brought them there and follow their lead from there.,1
Starting Conversations,First meeting,I'm about to meet my coworker for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Teamwork,Cross-functional friction,My close friend on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Making Friends,Long distance,My manager moved away and I want to keep the friendship going.,"Set a simple regular way to stay in touch, like a monthly call.",Wait for them to reach out first since they moved.,0
Workplace Communication,Disagreeing with decision,I disagree with a decision my old friend made.,Ask for a private conversation to share your concern.,Bring it up in a group meeting so others can weigh in.,0
Starting Conversations,Awkward silence,There's an awkward silence with my close friend and I don't know what to say.,Fill the silence by talking about yourself until it feels less awkward.,Ask an open question about something you both just experienced.,1
Public Speaking,Status update,I need to give my team lead a short status update on my work.,"Lead with the headline result, then add detail only if asked.",Walk through the process step by step in the order it happened.,0
Active Listening,Giving updates,My roommate is giving me a project update I need to fully understand.,Listen loosely since you can always ask questions later if needed.,Take notes and summarize back the key points before responding.,1
Teamwork,Silent teammate,My classmate rarely speaks up in team discussions.,Ask for their input directly during discussions.,Let them contribute in writing afterward instead of asking directly.,0
Making Friends,New city,I moved somewhere new and want to build a friendship with my old friend.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Nonverbal Communication,First meeting nerves,I'm nervous meeting my close friend and not sure how I'm coming across.,Keep your posture open and let there be some comfortable pauses.,Fill every silence with talking so there's never an awkward pause.,0
Conflict Resolution,Public disagreement,My neighbor disagreed with me in front of others.,Stay calm in the moment and follow up with them privately after.,Push back just as strongly in front of the same group.,0
Teamwork,Remote coordination,Communication with my cousin keeps slipping through the cracks remotely.,Send more frequent individual messages to make sure nothing is missed.,Propose a short regular check-in and a shared doc for updates.,1
Teamwork,Decision paralysis,My coworker and the team can't decide on next steps.,Propose a clear deadline for the decision and a simple way to choose.,Wait for someone else to take the lead on deciding.,0
Active Listening,Long story,My old friend is telling a long story and I'm losing focus.,Stay present and ask a question about a detail to re-engage.,Let your mind wander until they get to the point.,0
Empathy,Setback,My coworker didn't get something they really wanted.,Remind them of other good things going on to help them feel better.,Let them express disappointment without rushing to the positives.,1
Empathy,Feeling excluded,My cousin mentions feeling left out of a group.,Tell them they're overreacting and it's probably not personal.,"Validate the feeling before figuring out what, if anything, to do next.",1
Workplace Communication,Unclear instructions,My old friend gave me a task but the instructions were unclear.,Ask a specific clarifying question before starting.,Start working right away and adjust later if it's wrong.,0
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my roommate.,Apologize extensively for not reaching out sooner.,Reach out casually without over-explaining the gap.,1
Handling Criticism,Harsh review,I received a harsh review from my old friend that felt more personal than helpful.,Dismiss the whole review since the tone felt unfair.,Separate the useful points from the tone and ask a focused follow-up.,1
Teamwork,Group decision fatigue,My close friend and the team keep re-deciding the same thing.,Let the discussion happen again each time it comes up.,Suggest documenting the decision once it's made so it sticks.,1
Conflict Resolution,Public disagreement,My classmate disagreed with me in front of others.,Push back just as strongly in front of the same group.,Stay calm in the moment and follow up with them privately after.,1
Empathy,Health scare,My mentor just got concerning medical news.,Ask how they're feeling about it and what kind of support they want.,Immediately research solutions and send them information.,0
Conflict Resolution,Team disagreement,My neighbor and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Conflict Resolution,Boundary crossed,My study partner crossed a line I hadn't clearly stated before.,Stay upset internally but not bring it up since you hadn't said it before.,Explain the boundary clearly now and how you'd like things to go forward.,1
Public Speaking,Technical explanation,"I need to explain something technical to my old friend, who isn't familiar with it.",Explain it exactly the way you'd explain it to an expert.,"Start with the simplest version, then add detail if they ask.",1
Active Listening,Upset call,My sibling calls me upset and I'm not sure what to say.,Let them talk it out and ask what happened next instead of jumping to solutions.,Offer solutions quickly so the problem feels handled.,0
Empathy,Difficult decision,My neighbor is torn over a difficult decision.,Ask questions that help them think it through rather than telling them what to do.,Tell them clearly what you think they should do.,0
Conflict Resolution,Broken promise,My study partner didn't follow through on something they promised.,Stop relying on them without saying anything about why.,"Mention it calmly and ask what happened, without assuming the worst.",1
Conflict Resolution,Group project friction,My close friend and I clash on a shared project.,Split the work in half and avoid talking about the disagreement.,"Propose a short conversation focused only on the project, not personalities.",1
Nonverbal Communication,Distracted listener,My neighbor seems distracted while I'm talking to them.,Keep talking at the same pace regardless.,Pause briefly and check in before continuing.,1
Starting Conversations,Reconnecting casually,I ran into my team lead after a long time and don't know how to start talking again.,Mention something specific you remember about them before asking what's new.,Apologize for being out of touch before saying anything else.,0
Handling Criticism,Creative project,My old friend criticized a creative project I'm proud of.,Consider which parts resonate with your own doubts and set aside the rest.,Change the project significantly based on this one comment.,0
Setting Boundaries,Family expectations,My roommate expects me at every gathering even when I'm exhausted.,Attend every one to avoid a difficult conversation.,Let them know in advance which ones you can make and why.,1
Conflict Resolution,Noise issue,My cousin is being loud in a way that's affecting me.,Escalate to someone in charge before talking to them directly.,Explain the specific issue calmly and propose a compromise.,1
Making Friends,Shared hobby,My teammate likes the same hobby as me and I want to build a friendship.,Message them frequently about the hobby to build common ground fast.,Suggest doing the hobby together at a low-pressure time.,1
Assertiveness,Price disagreement,I think what my old friend is charging or asking for is too much.,Accept it to avoid an awkward conversation.,Ask directly for the reasoning and mention your expectation.,1
Empathy,Health scare,My neighbor just got concerning medical news.,Ask how they're feeling about it and what kind of support they want.,Immediately research solutions and send them information.,0
Assertiveness,Last-minute request,My teammate asks me for a last-minute favor I can't really do.,"Say clearly that you can't this time, without a long justification.",Agree and rearrange your own plans to make it work.,0
Setting Boundaries,Overcommitted,My roommate keeps asking for favors that take up a lot of my time.,Say yes to what you can genuinely manage and be honest otherwise.,Keep saying yes so the relationship doesn't feel strained.,0
Empathy,Difficult decision,My sibling is torn over a difficult decision.,Ask questions that help them think it through rather than telling them what to do.,Tell them clearly what you think they should do.,0
Workplace Communication,Onboarding question,I have a lot of questions as I onboard and don't want to bother my old friend.,Batch your questions and ask them at a natural check-in time.,Avoid asking and try to figure everything out on your own.,0
Public Speaking,Toast or speech,I have to give a toast or speech in front of my mentor and don't know where to start.,Include as many jokes and stories as possible.,"Pick one specific, genuine memory and build the speech around it.",1
Handling Criticism,Performance review,My new employee gave me a performance review lower than expected.,Push back on the rating before hearing the full explanation.,Ask for specific examples so you understand exactly what to improve.,1
Conflict Resolution,Miscommunication,My classmate misunderstood something I said and got upset.,Assume it will blow over on its own without addressing it.,Clarify what you meant calmly and ask how they took it.,1
Empathy,Financial stress,My new employee hints at financial stress without saying it outright.,Offer money right away to solve the problem quickly.,Let them bring it up fully in their own time rather than pressing.,1
Teamwork,Conflicting styles,My new employee works very differently from me and it's causing friction.,Talk openly about work styles and agree on a middle ground.,Adjust your own style completely to match theirs.,0
Handling Criticism,Criticism of a decision,My classmate criticizes a decision I already made.,"Hear them out and note it for future decisions, even if it's done.",Explain in detail why the decision was the only reasonable option.,0
Public Speaking,Impromptu speaking,My new employee asks me to say a few words with no preparation.,Try to cover everything you can think of on the spot.,"Take a breath, pick one point, and keep it short.",1
Setting Boundaries,Unsolicited advice,My manager keeps giving advice about a decision that's mine to make.,"Thank them for caring, then state clearly you've got it handled.",Nod along and quietly do what you were going to do anyway.,0
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my old friend.,Apologize extensively for not reaching out sooner.,Reach out casually without over-explaining the gap.,1
Handling Criticism,Criticism of a decision,My old friend criticizes a decision I already made.,Explain in detail why the decision was the only reasonable option.,"Hear them out and note it for future decisions, even if it's done.",1
Assertiveness,Repeated lateness,My roommate is consistently late when we meet.,Start showing up late yourself so it feels even.,Mention it directly and ask if a different time would work better.,1
Conflict Resolution,Broken promise,My teammate didn't follow through on something they promised.,"Mention it calmly and ask what happened, without assuming the worst.",Stop relying on them without saying anything about why.,0
Nonverbal Communication,Comforting someone,My new employee is upset and I want to comfort them without words getting in the way.,Talk continuously to fill the silence.,"Sit close, keep an open posture, and let your presence show support.",1
Nonverbal Communication,First meeting nerves,I'm nervous meeting my roommate and not sure how I'm coming across.,Fill every silence with talking so there's never an awkward pause.,Keep your posture open and let there be some comfortable pauses.,1
Empathy,Visible stress,My teammate seems overwhelmed but hasn't said anything.,Offer to take over their tasks without asking first.,Ask privately how they're doing and mention what you've noticed.,1
Starting Conversations,Event mingling,I'm at an event where my sibling is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Workplace Communication,Difficult email,I need to email my roommate about a mistake that affected me.,State the issue factually and propose next steps.,Cc other people right away so the issue is taken seriously.,0
Conflict Resolution,Credit dispute,My team lead took credit for part of my idea.,Bring it up publicly so others hear the correction at once.,Talk to them privately first and explain how it affected you.,1
Setting Boundaries,Borrowed items,My old friend borrows things and often returns them late or damaged.,Tell them directly what you need going forward.,Stop mentioning it and quietly avoid lending to them again.,0
Empathy,Pre-exam anxiety,My manager tells me they're anxious about a big test or evaluation.,Tell them they'll definitely do fine since they usually do.,Ask what part feels hardest and just listen.,1
Handling Criticism,Group critique,My neighbor criticizes my idea in front of the whole group.,Defend the idea strongly right there to save face.,Respond calmly in the moment and reflect on it more afterward.,1
Public Speaking,Status update,I need to give my mentor a short status update on my work.,Walk through the process step by step in the order it happened.,"Lead with the headline result, then add detail only if asked.",1
Assertiveness,Being interrupted,My sibling keeps interrupting me when I talk.,Stop bringing up points so it doesn't happen again.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",1
Nonverbal Communication,Crossed arms,My classmate has their arms crossed and seems distant.,Mirror their crossed arms so the conversation feels balanced.,Soften your own body language and ask an open question.,1
Assertiveness,Unwanted plans,My coworker keeps suggesting plans I don't actually want to do.,Keep agreeing and cancel at the last minute instead.,Say honestly that this activity isn't for you and suggest an alternative.,1
Active Listening,Disagreement in meeting,My close friend is explaining an idea I disagree with in a meeting.,Prepare your counterpoints while they're still talking.,"Let them finish, then ask a clarifying question about the unclear part.",1
Setting Boundaries,Repeated favors,My classmate keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Workplace Communication,Giving feedback up,"I need to give feedback to my roommate, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Setting Boundaries,Financial boundary,My old friend asks to borrow money more often than feels comfortable.,Set a clear limit and explain it kindly.,Lend it each time to avoid an uncomfortable conversation.,0
Setting Boundaries,Unsolicited advice,My new employee keeps giving advice about a decision that's mine to make.,Nod along and quietly do what you were going to do anyway.,"Thank them for caring, then state clearly you've got it handled.",1
Starting Conversations,New coworker,My teammate just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my cousin and many others.,Avoid eye contact so you don't get more nervous.,Pick one or two friendly faces in the room to speak toward.,1
Workplace Communication,Meeting overload,My sibling keeps scheduling meetings that could be emails.,Attend all of them without raising the issue.,Suggest an async update as an alternative for some of them.,1
Public Speaking,Recorded presentation,I'm recording a presentation my coworker will watch later.,Keep it concise and structured since there's no live back-and-forth.,"Include everything you might normally say live, just in case.",0
Empathy,Visible stress,My team lead seems overwhelmed but hasn't said anything.,Ask privately how they're doing and mention what you've noticed.,Offer to take over their tasks without asking first.,0
Teamwork,Conflicting styles,My manager works very differently from me and it's causing friction.,Talk openly about work styles and agree on a middle ground.,Adjust your own style completely to match theirs.,0
Assertiveness,Disrespected opinion,My coworker dismisses my opinion in front of others.,Restate your point calmly and ask to be heard fully.,"Stay quiet in the moment and bring it up much later, if at all.",0
Making Friends,Group outings,I see my new employee often in groups but never one-on-one.,Talk to everyone equally and let closer bonds form on their own.,Invite them to do something just the two of you.,1
Conflict Resolution,After an argument,I had an argument with my cousin and we haven't spoken since.,Wait for them to reach out first since they were more upset.,Reach out and acknowledge the disagreement directly.,1
Conflict Resolution,Broken promise,My old friend didn't follow through on something they promised.,"Mention it calmly and ask what happened, without assuming the worst.",Stop relying on them without saying anything about why.,0
Handling Criticism,Unsolicited critique,My old friend critiques something I didn't ask for feedback on.,Explain why their critique doesn't apply in this case.,Thank them briefly and decide later what's actually useful.,1
Conflict Resolution,Team disagreement,My teammate and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Conflict Resolution,Noise issue,My manager is being loud in a way that's affecting me.,Explain the specific issue calmly and propose a compromise.,Escalate to someone in charge before talking to them directly.,0
Assertiveness,Overloaded schedule,My manager keeps adding to my workload without checking capacity.,State clearly what's already on your plate and ask them to help prioritize.,Take on everything without comment and try to work faster.,0
Empathy,Visible stress,My coworker seems overwhelmed but hasn't said anything.,Ask privately how they're doing and mention what you've noticed.,Offer to take over their tasks without asking first.,0
Conflict Resolution,After an argument,I had an argument with my coworker and we haven't spoken since.,Reach out and acknowledge the disagreement directly.,Wait for them to reach out first since they were more upset.,0
Assertiveness,Uncomfortable joke,My new employee makes a joke at my expense that bothers me.,Laugh along so it doesn't seem like a big deal.,"Let them know directly, without making it a bigger issue than needed.",1
Making Friends,New parent friend,My old friend and I are both new parents and could become friends.,"Suggest a specific low-pressure plan, like a walk with the kids.",Wait until you run into each other again to suggest anything.,0
Active Listening,Instructions,My teammate is giving me instructions I need to follow exactly.,Start right away and ask questions only if something goes wrong.,Repeat the instructions back to confirm before starting.,1
Active Listening,Feedback session,My old friend is giving me feedback I didn't expect.,Explain your reasoning as soon as a point doesn't sit right with you.,"Listen fully before responding, even if you want to explain yourself.",1
Teamwork,Remote coordination,Communication with my close friend keeps slipping through the cracks remotely.,Propose a short regular check-in and a shared doc for updates.,Send more frequent individual messages to make sure nothing is missed.,0
Empathy,Feeling excluded,My teammate mentions feeling left out of a group.,Tell them they're overreacting and it's probably not personal.,"Validate the feeling before figuring out what, if anything, to do next.",1
Handling Criticism,Creative project,My teammate criticized a creative project I'm proud of.,Change the project significantly based on this one comment.,Consider which parts resonate with your own doubts and set aside the rest.,1
Active Listening,Complaint,My new employee is complaining about something that affects them directly.,Repeat their concern back in your own words before responding.,Apologize briefly and move on to explaining the policy or reasoning.,0
Setting Boundaries,Time boundary,My manager tends to run long in conversations when I have limited time.,Let them know upfront how much time you have.,Let the conversation run long to avoid seeming rude.,0
Workplace Communication,Disagreeing with decision,I disagree with a decision my manager made.,Ask for a private conversation to share your concern.,Bring it up in a group meeting so others can weigh in.,0
Making Friends,Mutual friend,"I want to become friends with my manager, who I met through someone else.",Reach out directly instead of relying on the mutual friend to connect you.,Wait until the mutual friend brings you together again.,0
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my coworker and many others.,Pick one or two friendly faces in the room to speak toward.,Avoid eye contact so you don't get more nervous.,0
Handling Criticism,Manager feedback,My old friend gave me critical feedback on something I worked hard on.,Thank them for the feedback and ask a specific question about improving.,Explain the reasons behind your choices before agreeing to change anything.,0
Handling Criticism,Group critique,My mentor criticizes my idea in front of the whole group.,Respond calmly in the moment and reflect on it more afterward.,Defend the idea strongly right there to save face.,0
Workplace Communication,Giving feedback up,"I need to give feedback to my old friend, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Public Speaking,Technical explanation,"I need to explain something technical to my close friend, who isn't familiar with it.","Start with the simplest version, then add detail if they ask.",Explain it exactly the way you'd explain it to an expert.,0
Assertiveness,Being interrupted,My neighbor keeps interrupting me when I talk.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",Stop bringing up points so it doesn't happen again.,0
Empathy,Setback,My old friend didn't get something they really wanted.,Remind them of other good things going on to help them feel better.,Let them express disappointment without rushing to the positives.,1
Assertiveness,Repeated lateness,My neighbor is consistently late when we meet.,Mention it directly and ask if a different time would work better.,Start showing up late yourself so it feels even.,0
Workplace Communication,Disagreeing with decision,I disagree with a decision my coworker made.,Ask for a private conversation to share your concern.,Bring it up in a group meeting so others can weigh in.,0
Handling Criticism,Public correction,My manager corrected a mistake I made in front of others.,Acknowledge the correction calmly and thank them.,Correct them back on something minor later to feel even.,0
Starting Conversations,Party small talk,I don't know what to say to my teammate at a party.,Talk mainly about your own week so they get to know you.,Ask what brought them there and follow their lead from there.,1
Empathy,Fear of change,My cousin is scared about an upcoming change in their life.,Tell them there's nothing to worry about and it'll be fine.,Ask what specifically worries them before offering reassurance.,1
Nonverbal Communication,Distracted listener,My cousin seems distracted while I'm talking to them.,Keep talking at the same pace regardless.,Pause briefly and check in before continuing.,1
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my close friend and want to seem more engaged.,Look at the camera when speaking and nod occasionally.,Keep your camera off so you can focus without distraction.,0
Nonverbal Communication,Comforting someone,My classmate is upset and I want to comfort them without words getting in the way.,Talk continuously to fill the silence.,"Sit close, keep an open posture, and let your presence show support.",1
Teamwork,Sharing credit,Our team succeeded mostly because of my coworker's extra effort.,Present it as a fully equal effort so no one feels singled out.,Acknowledge their specific contribution while recognizing the team too.,1
Setting Boundaries,Social media boundary,My team lead tags or posts about me in ways I'm not comfortable with.,Untag yourself quietly each time without saying anything.,Ask them directly to check with you before posting about you.,1
Active Listening,Upset call,My team lead calls me upset and I'm not sure what to say.,Offer solutions quickly so the problem feels handled.,Let them talk it out and ask what happened next instead of jumping to solutions.,1
Making Friends,New environment,I just started somewhere new with my study partner and want to build a friendship.,Show consistent interest over time and remember details they share.,Try to befriend the most popular person first to meet others faster.,0
Teamwork,Remote coordination,Communication with my teammate keeps slipping through the cracks remotely.,Send more frequent individual messages to make sure nothing is missed.,Propose a short regular check-in and a shared doc for updates.,1
Handling Criticism,Vague criticism,My team lead gives criticism that's vague and hard to act on.,Ask for a specific example to understand what they mean.,Guess at what they meant and adjust based on that guess.,0
Nonverbal Communication,Reading the room,I want to tell if my mentor wants to keep talking or wrap up.,Keep the conversation going until they explicitly say they need to leave.,"Watch for cues like turning away or short answers, and offer an easy exit.",1
Setting Boundaries,Time boundary,My teammate tends to run long in conversations when I have limited time.,Let them know upfront how much time you have.,Let the conversation run long to avoid seeming rude.,0
Teamwork,Silent teammate,My study partner rarely speaks up in team discussions.,Ask for their input directly during discussions.,Let them contribute in writing afterward instead of asking directly.,0
Making Friends,New city,I moved somewhere new and want to build a friendship with my classmate.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Assertiveness,Unfair blame,I got blamed for something that wasn't my fault by my close friend.,"Explain calmly what actually happened, with specifics.",Let it go since bringing it up might seem difficult.,0
Workplace Communication,Unclear instructions,My study partner gave me a task but the instructions were unclear.,Start working right away and adjust later if it's wrong.,Ask a specific clarifying question before starting.,1
Setting Boundaries,Borrowed items,My classmate borrows things and often returns them late or damaged.,Stop mentioning it and quietly avoid lending to them again.,Tell them directly what you need going forward.,1
Assertiveness,Speaking up in group,I disagree with the direction my team lead and the group are taking.,"Voice your concern clearly once, with your reasoning.",Stay quiet since the group already seems to agree.,0
Conflict Resolution,Shared space,My neighbor keeps leaving a mess and it's bothering me.,Bring it up calmly in person and suggest a system that works for both of you.,Leave it as is until they notice the problem themselves.,0
Handling Criticism,Repeated feedback,I keep getting the same feedback from my classmate and others.,Assume it's a coincidence since they don't know each other.,Take it as a real signal worth addressing.,1
Workplace Communication,Disagreeing with decision,I disagree with a decision my study partner made.,Bring it up in a group meeting so others can weigh in.,Ask for a private conversation to share your concern.,1
Active Listening,Feedback session,My mentor is giving me feedback I didn't expect.,Explain your reasoning as soon as a point doesn't sit right with you.,"Listen fully before responding, even if you want to explain yourself.",1
Conflict Resolution,Boundary crossed,My teammate crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my neighbor.,Reach out casually without over-explaining the gap.,Apologize extensively for not reaching out sooner.,0
Nonverbal Communication,Tense meeting,My mentor seems tense during a meeting and it's affecting the room.,Match their tense energy so the seriousness is clear.,Keep your own tone calm and open to help ease the tension.,1
Active Listening,Long story,My team lead is telling a long story and I'm losing focus.,Let your mind wander until they get to the point.,Stay present and ask a question about a detail to re-engage.,1
Nonverbal Communication,Tone mismatch,My roommate says they're fine but their tone suggests otherwise.,Gently note the mismatch and ask if they want to talk about it.,Take their words at face value and move on.,0
Nonverbal Communication,Physical distance,My classmate seems to keep more physical distance than usual.,Respect the space and let them close the distance if they want to.,Move closer to make the conversation feel warmer.,0
Active Listening,Long story,My neighbor is telling a long story and I'm losing focus.,Stay present and ask a question about a detail to re-engage.,Let your mind wander until they get to the point.,0
Teamwork,Silent teammate,My close friend rarely speaks up in team discussions.,Ask for their input directly during discussions.,Let them contribute in writing afterward instead of asking directly.,0
Teamwork,Missed deadline,My close friend missed a deadline that affected the whole team.,Point out the missed deadline in front of the team.,Ask what happened and work together on a recovery plan.,1
Workplace Communication,Asking for more,I want to ask my roommate for a raise or more responsibility.,Mention it casually in passing to keep things low-pressure.,Schedule a dedicated conversation with specific examples ready.,1
Assertiveness,Price disagreement,I think what my mentor is charging or asking for is too much.,Accept it to avoid an awkward conversation.,Ask directly for the reasoning and mention your expectation.,1
Workplace Communication,Disagreeing publicly,My roommate says something inaccurate in a meeting with others present.,Correct them firmly in front of everyone right away.,Note it calmly in the meeting or follow up privately after.,1
